A,9,3,1500,5,-83,
A,9,4,2000,5,-83,
A,9,5,2500,5,-83,
A,9,6,3000,5,-83,
A,9,7,3500,5,-83,
A,9,8,4000,5,-69,
A,9,9,4500,5,-69,
A,9,0,0,6,-69,
A,9,1,500,6,-69,
A,9,2,1000,6,-69,
A,9,3,1500,6,-69,
A,9,4,2000,6,-69,
A,9,5,2500,6,-69,
A,9,6,3000,6,-69,
A,9,7,3500,6,-69,
A,9,8,4000,6,-69,
A,9,9,4500,6,-69,
A,9,0,0,7,-69,
A,9,1,500,7,-69,
A,9,2,1000,7,-69,
A,9,3,1500,7,-69,
A,9,4,2000,7,-69,
A,9,5,2500,7,-69,
A,9,6,3000,7,-69,
A,9,7,3500,7,-69,
A,9,8,4000,7,-83,
A,9,9,4500,7,-83,
A,10,0,0,0,-87,
A,10,1,500,0,-87,
A,10,2,1000,0,-87,
A,10,3,1500,0,-87,
A,10,4,2000,0,-87,
A,10,5,2500,0,-87,
A,10,6,3000,0,-87,
A,10,7,3500,0,-87,
A,10,8,4000,0,-87,
A,10,0,0,2,-87,
A,10,5,2500,2,-87,
A,10,6,3000,2,-87,
A,10,8,4000,2,-87,
A,10,9,4500,2,-87,
A,10,0,0,3,-83,
A,10,1,500,3,-83,
A,10,2,1000,3,-83,
A,10,3,1500,3,-83,
A,10,4,2000,3,-83,
A,10,5,2500,3,-83,
A,10,6,3000,3,-83,
A,10,7,3500,3,-83,
A,10,8,4000,3,-83,
A,10,9,4500,3,-83,
A,10,0,0,4,-78,
A,10,1,500,4,-78,
A,10,2,1000,4,-78,
A,10,3,1500,4,-78,
A,10,4,2000,4,-78,
A,10,5,2500,4,-78,
A,10,6,3000,4,-78,
A,10,7,3500,4,-78,
A,10,8,4000,4,-73,
A,10,9,4500,4,-73,
A,10,0,0,5,-73,
A,10,1,500,5,-73,
A,10,2,1000,5,-73,
A,10,3,1500,5,-73,
A,10,4,2000,5,-73,
A,10,5,2500,5,-73,
A,10,6,3000,5,-73,
A,10,7,3500,5,-73,
A,10,8,4000,5,-73,
A,10,9,4500,5,-73,
A,10,0,0,6,-73,
A,10,1,500,6,-69,
A,10,2,1000,6,-69,
A,10,3,1500,6,-73,
A,10,4,2000,6,-69,
A,10,5,2500,6,-69,
A,10,6,3000,6,-73,
A,10,7,3500,6,-73,
A,10,8,4000,6,-78,
A,10,9,4500,6,-78,
A,10,0,0,7,-78,
A,10,1,500,7,-78,
A,10,2,1000,7,-78,
A,10,3,1500,7,-78,
A,10,4,2000,7,-78,
A,10,5,2500,7,-78,
A,10,6,3000,7,-78,
A,10,7,3500,7,-78,
A,10,8,4000,7,-78,
A,10,9,4500,7,-78,
A,11,1,500,0,-87,
A,11,3,1500,0,-87,
A,11,0,0,3,-87,
A,11,1,500,3,-87,
A,11,3,1500,3,-87,
A,11,4,2000,3,-87,
A,11,5,2500,3,-87,
A,11,6,3000,3,-87,
A,11,7,3500,3,-87,
A,11,8,4000,3,-87,
A,11,9,4500,3,-87,
A,11,0,0,4,-83,
A,11,1,500,4,-83,
A,11,2,1000,4,-83,
